name	synonyms
MBT-2	MBT2; Mouse Bladder Tumor line-2
MB49	MB-49; MB49-I
BTT-T739	BTT T739; T739
GL261	Glioma 261; Glioma-261; GL-261
SMA-560	SMA 560; SMA560; P560
CT-2A	CT2A
GL26	
4C8	
4T1	4T-1
EMT6	EMT-6; Experimental Mammary Tumor-6
EO771 	E0771
67NR	
6DT1	
D2A1	
F311	
HRM1	
M6	
Met1	
TSAE1	
TS/A	TSA
Py230	PY230
Py8119	PY8119
MC-26	MC26; colon26; colon-26; C-26; C26
LM17	
JC	
CT26	CT-26; CT 26; CT-26 WT
C51	
C38	
MC-38	MCA-38; MCA38; MC38; Mouse colon 38; murine carcinoma-38; colon 28; colon-28; colon 38; c38
A-20	A20
WEHI-164	WEHI 164; WEHI164; WEHI 164 TC
RenCa	Renal carcinoma; RENCA
C1498	
P388	P-388
P388/ADR	
P388D1	P-388D1; P388-D1; P388.D1
L1210	L-1210; Leukemic 1210; Leukemia 1210; Leukemia L1210
NFS-60	M-NFS-60; NFS 60; NFS60
KLN205	KLN 205; KLN-205
LL/2	LL/2; LL2; LLC1; LLC; Lewis lung carcinoma line 1; Lewis lung carcinoma; Lewis Lung Cancer; Lewis-Lung; Lewis Lung;
M109	Madison 109; Madison lung; Madison; MADISON LUNG TA-109; MAD109;
CMT167	CMT-167; CMT 167;
A20	A-20
EL4	EL-4; EL 4; E.L.4;
E.G7-OVA	E.G7-Ova; 
B16-BL6	B16BL6
B16-F0	B16F0
B16-F1	B16F1
B16-F10	B16F10
K1735-M2	K-1735 M2; K-1735 M-2; K1735M2; K-1735 subclone M2; K1735 Met 2
YUMM1.7	Yale University Mouse Melanoma 1.7
Clone M-3	S91-M3; S91 M3; Cloudman S91 melanoma clone M-3; CLONE M3; M3 Clone M-3; Cloudman M3; 
AB12	AB-12
AB1	AB-1
J558	
P3X63Ag8U.1	P3-X63-Ag8-U1; P3-X63-Ag8.U1; P3-X63.Ag8.U1; P3X63-Ag8-U1; P3X63Ag8-U1; P3X63Ag8.U1; P3.x63.Ag8.U1; P3U1; P3UI; P3U-1
MPC-11	MPC 11; MPC11; Merwin Plasma Cell tumor-11
N1E-115	"N1E115; NIE-115; NIE 115"""
Neuro-2a	"NEURO-2A; Neuro 2a; Neuro2a; Neuro2A; N-2a; N2a; N2A; Nb2a; NB2a"""
Panc02	Panc-02; Panc 02; Pan02; PAN 02; Panc02-H0
Panc03	Panc-03; Panc 03
RM-1	RM1
MOC1	MOC-L1; Mouse Oral Cancer 1
MOC2	MOC-L2; Mouse Oral Cancer 2
MOC22	MOC-L22; Mouse Oral Cancer 22
Hepa1-6	HEPA 1-6; Hepa-1-6; Hepa1-6
TRAMP-C2	TRAMP C2
TRAMP-C1	TRAMP C1
RIF-1	Radiation-Induced Fibrosarcoma-1; RIF/Pts1; RIF platinum-sensitive line 1;
ID8	MOSEC
P815	P-815;
J774A1	J-774A.1; J774.A1; J774 A1; J774A.1; J 774A.1; J774 A.1
Hepa1-6	HEPA 1-6; Hepa-1-6; Hepa1-6
H22	Hepatoma-22; Hepatoma 22
F9	
6C3HED-OG	6C3HED/OG
ADJ/PC6	
M5076	
M5480	
MST	
Meth A Sarcoma	Meth A; Meth-A; Meth-A-sarkom
MOPC-104	MOPC104
MOPC-112	MOPC112
MOPC-113	MOPC113
MOPC-114	MOPC114
MOPC-116	MOPC116
MOPC-118	MOPC118
MOPC-121	MOPC121
MOPC-123	MOPC123
MOPC-129	MOPC129
MOPC-132	MOPC132
MOPC-140	MOPC140
MOPC-141	MOPC141
MOPC-157	MOPC157
MOPC-17	MOPC17
MOPC-172	MOPC172
MOPC-173	MOPC173
MOPC-209	MOPC209
MOPC-21	MOPC21
MOPC-28	MOPC28
MOPC-30	MOPC30
MOPC-31	MOPC31
MOPC-4	MOPC4
MOPC-41	MOPC41
MOPC-46	MOPC46
MOPC-47	MOPC47
MOPC-48	MOPC48
MOPC-49	MOPC49
MOPC-51	MOPC51
MOPC-61	MOPC61
MOPC-63	MOPC63
MOPC-67	MOPC67
MOPC-69	MOPC69
MOPC-70	MOPC70
MOPC-78	MOPC78
MOPC-88	MOPC88
MOPC-91	MOPC91
MOPC-96	MOPC96
MOPC-99	MOPC99
RBL-5	Rauscher Virus Induced Transplantable Tumor-5
LSTRA	
